RANK,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,Tournament
1,Brian Harman,85.71%,48,56,The RSM Classic
1,Carson Young,85.71%,48,56,The RSM Classic
3,Luke Clanton,83.93%,47,56,The RSM Classic
3,Joel Dahmen,83.93%,47,56,The RSM Classic
3,Lee Hodges,83.93%,47,56,The RSM Classic
3,Mark Hubbard,83.93%,47,56,The RSM Classic
7,Ryo Hisatsune,80.36%,45,56,The RSM Classic
7,Kelly Kraft,80.36%,45,56,The RSM Classic
7,William McGirt,80.36%,45,56,The RSM Classic
7,Henrik Norlander,80.36%,45,56,The RSM Classic
7,Sam Stevens,80.36%,45,56,The RSM Classic
7,Davis Thompson,80.36%,45,56,The RSM Classic
13,Daniel Berger,78.57%,44,56,The RSM Classic
13,Doug Ghim,78.57%,44,56,The RSM Classic
15,Lanto Griffin,76.79%,43,56,The RSM Classic
15,Joe Highsmith,76.79%,43,56,The RSM Classic
15,Michael Kim,76.79%,43,56,The RSM Classic
18,Stewart Cink,75.00%,42,56,The RSM Classic
18,Austin Eckroat,75.00%,42,56,The RSM Classic
18,Patrick Fishburn,75.00%,42,56,The RSM Classic
18,Taylor Moore,75.00%,42,56,The RSM Classic
18,Paul Peterson,75.00%,42,56,The RSM Classic
18,Adam Svensson,75.00%,42,56,The RSM Classic
24,Marcus Byrd,73.21%,41,56,The RSM Classic
24,Lucas Glover,73.21%,41,56,The RSM Classic
24,Philip Knowles,73.21%,41,56,The RSM Classic
24,Russell Knox,73.21%,41,56,The RSM Classic
24,Chandler Phillips,73.21%,41,56,The RSM Classic
24,Patrick Rodgers,73.21%,41,56,The RSM Classic
24,Austin Smotherman,73.21%,41,56,The RSM Classic
24,Kevin Yu,73.21%,41,56,The RSM Classic
32,Ben Griffin,71.43%,40,56,The RSM Classic
32,Martin Laird,71.43%,40,56,The RSM Classic
32,Hayden Springer,71.43%,40,56,The RSM Classic
32,Kevin Tway,71.43%,40,56,The RSM Classic
36,Nico Echavarria,69.64%,39,56,The RSM Classic
36,Adam Hadwin,69.64%,39,56,The RSM Classic
36,Maverick McNealy,69.64%,39,56,The RSM Classic
36,Robby Shelton,69.64%,39,56,The RSM Classic
,Field Average,68.04%,,,The RSM Classic
40,Patton Kizzire,67.86%,38,56,The RSM Classic
40,Denny McCarthy,67.86%,38,56,The RSM Classic
40,Matt Wallace,67.86%,38,56,The RSM Classic
43,Jonathan Byrd,66.07%,37,56,The RSM Classic
43,Adrien Dumont de Chassart,66.07%,37,56,The RSM Classic
43,Harris English,66.07%,37,56,The RSM Classic
43,Steven Fisk,66.07%,37,56,The RSM Classic
43,Garrick Higgo,66.07%,37,56,The RSM Classic
43,S.H. Kim,66.07%,37,56,The RSM Classic
43,J.T. Poston,66.07%,37,56,The RSM Classic
50,Tyson Alexander,64.29%,36,56,The RSM Classic
51,Bud Cauley,62.50%,35,56,The RSM Classic
51,Kevin Chappell,62.50%,35,56,The RSM Classic
51,Will Gordon,62.50%,35,56,The RSM Classic
51,Michael Thorbjornsen,62.50%,35,56,The RSM Classic
55,S.Y. Noh,60.71%,34,56,The RSM Classic
55,Brandon Wu,60.71%,34,56,The RSM Classic
